시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,입장(이용료)가격 정보,반려동물 동반 가능정보,반려동물 전용 정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,최종작성일,image_url,nmap_url
1004섬수석미술관,반려동물업,반려동반여행,미술관,전라남도,신안군,자은면,백산리,633-54 번지,자은서부2길,508-68 번,34.8800925,125.996874,58831,전라남도 신안군 자은면 자은서부2길 508-68,전라남도 신안군 자은면 백산리 633-54,061-240-8359,http://tour.shinan.go.kr/home/tour/theme_tour/theme_tour_17/theme_tour_17_01/page.wscms,매주 월요일,화~일 09:00~18:00,Y,없음,N,해당없음,해당없음,해당없음,Y,Y,미술관,없음,2022.11.30,,https://map.naver.com/p/entry/place/1814217632
107page,반려동물업,반려동물식당카페,카페,경상북도,구미시,봉곡동,,56-2 번지,봉곡서로,87-34 번,36.15863384,128.30627,39204,경상북도 구미시 봉곡서로 87-34,경상북도 구미시 봉곡동 56-2,0507-1331-7179,https://www.instagram.com/107page/,매주 월요일,화~일 12:00~22:00,N,변동,Y,해당없음,모두 가능,"마당, 1층만 입장 가능, 목줄, 배변봉투",Y,Y,애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20240914_215/1726284945675PTQFt_JPEG/IMG_1776.jpeg,https://map.naver.com/p/entry/place/1295268261
1723 카페,반려동물업,반려동물식당카페,카페,전라북도,전주시 완산구,교동,,98-2 번지,오목대길,83 번,35.81263594,127.151717,55044,전라북도 전주시 완산구 오목대길 83,전라북도 전주시 완산구 교동 98-2,063-288-1723,http://blog.naver.com/cafe1723,연중무휴,매일 10:30~22:00,N,변동,Y,해당없음,모두 가능,야외테라스만 동반 가능,Y,Y,애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150901_267/1441102199935s1LYS_JPEG/136574585158623_0.jpeg,https://map.naver.com/p/entry/place/21799555
1919봄,반려동물업,반려동물식당카페,카페,경상남도,밀양시,산외면,금천리,810-4 번지,산외로,191 번,35.50542551,128.789995,50411,경상남도 밀양시 산외면 산외로 191,경상남도 밀양시 산외면 금천리 810-4,0507-1346-9661,https://www.instagram.com/1919spring/,매주 화요일,수~월 11:00~21:00,Y,변동,Y,해당없음,모두 가능,실외만 동반 가능,Y,Y,애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20200621_143/1592709024128Ly2sy_JPEG/pOew4hfMVS40i0kB4A9RFOI0.jpg,https://map.naver.com/p/entry/place/1867972136
315아트센터,반려동물업,반려동반여행,문예회관,경상남도,창원시 마산회원구,양덕동,,532-3 번지,삼호로,135 번,35.22581853,128.577106,51322,경상남도 창원시 마산회원구 삼호로 135,경상남도 창원시 마산회원구 양덕동 532-3,055-719-7800,www.cwcf.or.kr,전시공연에 따라 변동,전시공연에 따라 변동,Y,변동,Y,해당없음,모두 가능,야외만 반려동물 동반 가능,Y,N,문예회관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150831_56/14410130846491wNpB_JPEG/107152576069995_0.jpg,https://map.naver.com/p/entry/place/13280803
369펜션,반려동물업,반려동반여행,펜션,제주특별자치도,제주시,조천읍,와흘리,243 번지,와흘로,369 번,33.47371025,126.645997,63344,제주특별자치도 제주시 조천읍 와흘로 369,제주특별자치도 제주시 조천읍 와흘리 243,064-726-8266,http://jeju369.com/,연중무휴,매일 16:00~11:00,Y,변동,Y,해당없음,10kg 미만,애견용품 개별준비,Y,Y,애견 동반 펜션,"20,000원",2022.11.30,https://ldb-phinf.pstatic.net/20191106_174/1573049415913u01fs_JPEG/IamfXhFOazfmcXoUII6D4bZk.png.jpg,https://map.naver.com/p/entry/place/37891602
38 COFFEE,반려동물업,반려동물식당카페,카페,강원도,인제군,남면,부평리,1070-2 번지,설악로,1129 번,38.00149385,128.115654,24646,강원도 인제군 남면 설악로 1129,강원도 인제군 남면 부평리 1070-2,033-461-9966,정보없음,연중무휴,매일 08:30~20:30,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20230523_292/1684805427980Fojop_JPEG/%C4%AB%C6%E4%BD%C7%B3%BB3.jpg,https://map.naver.com/p/entry/place/36325888
38도씨식당,반려동물업,반려동물식당카페,식당,서울특별시,마포구,서교동,,409-11 번지,와우산로17길,19-17 번,37.54942988,126.921615,4049,서울특별시 마포구 와우산로17길 19-17,서울특별시 마포구 서교동 409-11,0507-1339-8387,https://instagram.com/38docisikdang,연중무휴,매일 17:00~01:00,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,애견 동반 식당,없음,2022.11.30,https://ldb-phinf.pstatic.net/20210721_132/1626855796685XVdK4_JPEG/W0db6n6s7HHCHrwhXAk9WPua.jpeg.jpg,https://map.naver.com/p/entry/place/1959618992
518기념공원,반려동물업,반려동반여행,여행지,광주광역시,서구,쌍촌동,,1268 번지,상무민주로,61 번,35.15574851,126.858584,61965,광주광역시 서구 상무민주로 61,광주광역시 서구 쌍촌동 1268,062-376-5197,https://www.seogu.gwangju.kr/menu.es?mid=a70901070000,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150831_113/1441010464064IXs3T_JPEG/126172516752620_0.jpg,https://map.naver.com/p/entry/place/19699777
518기념문화센터,반려동물업,반려동반여행,문예회관,광주광역시,서구,쌍촌동,,1268 번지,내방로,152 번,35.15830536,126.857556,61965,광주광역시 서구 내방로 152,광주광역시 서구 쌍촌동 1268,062-376-5197,https://www.gwangju.go.kr/518center,전시공연에 따라 변동,전시공연에 따라 변동,Y,변동,N,해당없음,해당없음,해당없음,Y,N,문예회관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20181224_254/1545650254269WV7wF_JPEG/7yYJ0HLe4aNiaP--ibri0cGZ.jpg,https://map.naver.com/p/entry/place/16274932
63아트,반려동물업,반려동반여행,미술관,서울특별시,영등포구,여의도동,,60 번지,63로,50 번,37.51966416,126.939909,7345,서울특별시 영등포구 63로 50,서울특별시 영등포구 여의도동 60,02-789-5101,www.63art.co.kr,연중무휴,매일 10:00~22:00,Y,15000원,N,해당없음,해당없음,해당없음,Y,N,미술관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20191121_213/1574318597333hWL0n_JPEG/9Tj-W1GAjm7qPdIs0VVPyFMb.jpg,https://map.naver.com/p/entry/place/1003402787
92버터샵,반려동물업,반려동물식당카페,카페,경상북도,구미시,옥계동,,743-1 번지,산호대로33길,18 번,36.13772258,128.423821,39184,경상북도 구미시 산호대로33길 18,경상북도 구미시 옥계동 743-1,0507-1353-5615,https://www.instagram.com/92_buttershop/,"매주 일, 월",화~토 11:00~20:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20200616_284/1592272106218VqB3y_JPEG/-JmQwGv6cshoZ4LssLNemq4E.jpeg.jpg,https://map.naver.com/p/entry/place/1757209139
가경공원,반려동물업,반려동반여행,여행지,충청북도,청주시 흥덕구,가경동,,84-1 번지,서부로,1241-31 번,36.61266041,127.437237,28382,충청북도 청주시 흥덕구 서부로 1241-31,충청북도 청주시 흥덕구 가경동 산 84-1,043-201-4435,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,,https://map.naver.com/p/entry/place/21082783
가든블루,반려동물업,반려동반여행,펜션,경기도,포천시,이동면,장암리,636-12 번지,화동로,2236-33 번,38.04364239,127.374561,11111,경기도 포천시 이동면 화동로 2236-33,경기도 포천시 이동면 장암리 636-12,0507-1309-3493,http://gardenblue.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 이하,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수","20,000원",2022.11.30,https://naverbooking-phinf.pstatic.net/20230621_230/1687347746536jrY8r_JPEG/9_HEK06485.jpg,https://map.naver.com/p/entry/place/38549851
가락바위소류지,반려동물업,반려동반여행,여행지,충청남도,아산시,탕정면,명암리,588 번지,,,36.80759774,127.059415,31452,,충청남도 아산시 탕정면 명암리 588,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022.11.30,,https://map.naver.com/p/entry/place/17556046
가마미해수욕장,반려동물업,반려동반여행,여행지,전라남도,영광군,홍농읍,계마리,802-1 번지,가마미로,341-6 번,35.39762675,126.408005,57000,전라남도 영광군 홍농읍 가마미로 341-6,전라남도 영광군 홍농읍 계마리 802-1,061-356-1020,https://www.yeonggwang.go.kr/subpage/?site=tour_2019&mn=7387,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150831_189/1440992292335FB8O0_JPEG/157155537073150_0.jpg,https://map.naver.com/p/entry/place/11491644
가산박물관,반려동물업,반려동반여행,박물관,충청북도,옥천군,안내면,용촌리,221 번지,안내회남로,310-5 번,36.40466701,127.621897,29005,충청북도 옥천군 안내면 안내회남로 310-5,충청북도 옥천군 안내면 용촌리 221,043-733-9129,http://blog.naver.com/phhyenym,연중무휴,매일 09:00~18:00,Y,없음,N,해당없음,해당없음,해당없음,Y,Y,박물관,없음,2022.11.30,,https://map.naver.com/p/entry/place/17821238
가수원근린공원,반려동물업,반려동반여행,여행지,대전광역시,서구,가수원동,,802-1 번지,가수원중로65번길,22 번,36.29819101,127.352494,35390,대전광역시 서구 가수원중로65번길 22,대전광역시 서구 가수원동 802-1,,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022.11.30,,https://map.naver.com/p/entry/place/36667587
